CustomerID,Age,Income,Education_Level,Marital_Status,Kidhome,Teenhome,Customer_Days,Recency,Complain,Z_CostContact,Z_Revenue,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Response
CUST_0035,50,67353,PhD,Married,0,1,2339,37,0,3,11,702,17,151,0,8,35,878,843,5,5,6,12,2,0,0,0,0,0,0,0
CUST_0036,44,23718,2n Cycle,Married,1,0,2459,76,0,3,11,6,3,14,15,7,36,45,9,3,3,1,2,7,0,0,0,0,0,0,0
CUST_0037,47,42429,Graduation,Widow,0,1,2297,99,0,3,11,55,0,6,2,0,4,63,59,2,1,1,3,5,0,0,0,0,0,0,0
CUST_0038,77,48948,PhD,Divorced,0,0,2672,53,0,3,11,437,8,206,160,49,42,860,818,2,7,10,5,6,0,0,1,0,0,1,1
CUST_0039,40,80011,Graduation,Married,0,1,2585,3,0,3,11,421,76,536,82,178,102,1293,1191,2,8,6,5,4,0,0,0,0,0,0,0
CUST_0040,35,20559,Master,Married,1,0,2633,88,0,3,11,13,1,29,3,0,7,46,39,2,2,0,3,8,0,0,0,0,0,0,0
CUST_0041,63,21994,Graduation,Together,0,1,2711,4,0,3,11,9,0,6,3,1,3,19,16,1,0,0,3,5,0,0,0,0,0,0,0
CUST_0042,45,7500,Master,Married,1,0,2429,19,0,3,11,3,1,10,3,2,12,19,7,3,2,0,3,5,0,0,0,0,0,0,0
CUST_0043,44,79941,Graduation,Single,0,0,2160,72,0,3,11,123,164,266,227,30,174,810,636,1,2,4,9,1,0,0,0,0,0,0,0
CUST_0044,24,7500,2n Cycle,Married,0,0,2756,24,0,3,11,3,18,14,15,22,50,72,22,3,3,1,3,9,0,0,0,0,0,0,1
CUST_0045,52,41728,Graduation,Together,1,0,2560,92,0,3,11,13,6,15,3,5,13,42,29,1,2,0,2,10,0,0,0,0,0,0,0
CUST_0046,66,72550,PhD,Married,1,1,2757,39,0,3,11,826,50,317,50,38,38,1281,1243,9,5,2,12,8,0,0,0,0,0,0,0
CUST_0047,63,65486,Graduation,Widow,0,1,2207,29,0,3,11,245,19,125,37,67,14,493,479,1,4,2,10,2,0,0,0,0,0,0,0
CUST_0048,56,79143,Master,Married,0,0,2846,2,0,3,11,650,37,780,27,167,32,1661,1629,1,6,9,13,3,0,0,0,0,0,0,0
CUST_0049,43,35790,Graduation,Single,1,0,2702,54,0,3,11,12,6,20,30,1,3,69,66,2,2,0,3,7,0,0,0,0,0,0,0
CUST_0050,43,82582,Graduation,Divorced,0,0,2181,54,0,3,11,510,120,550,156,40,241,1376,1135,1,4,9,7,1,1,0,1,0,0,2,1
CUST_0051,42,66373,Graduation,Married,1,1,2541,57,0,3,11,328,9,124,12,24,109,497,388,7,4,2,10,3,0,0,0,0,0,0,0
CUST_0052,65,82384,Master,Together,0,0,2746,55,0,3,11,984,51,432,180,120,190,1767,1577,1,3,10,13,1,0,0,0,0,1,1,1
CUST_0053,54,70287,Graduation,Divorced,0,0,2612,30,0,3,11,295,35,482,121,120,40,1053,1013,1,5,5,10,3,0,0,0,0,0,0,1
CUST_0054,32,27938,Graduation,Single,1,0,2221,31,0,3,11,13,0,8,2,1,5,24,19,1,1,0,4,3,0,0,0,0,0,0,0
CUST_0055,52,55954,PhD,Married,0,1,2277,63,0,3,11,447,0,28,0,0,43,475,432,3,8,2,6,7,0,0,0,0,0,0,0
CUST_0056,38,75777,Master,Single,0,0,2519,12,0,3,11,712,26,538,69,13,80,1358,1278,1,3,6,11,1,0,0,0,1,1,2,1
CUST_0057,45,66653,Graduation,Together,1,1,2819,18,0,3,11,452,18,102,16,18,6,606,600,4,4,2,12,3,0,0,0,0,0,0,0
CUST_0058,68,61823,Graduation,Single,0,1,2655,26,0,3,11,523,7,134,37,14,169,715,546,4,8,2,10,7,0,0,0,0,0,0,0
CUST_0059,69,67680,PhD,Widow,0,1,2542,8,0,3,11,546,0,48,0,6,6,600,594,1,7,3,8,5,0,0,0,0,0,0,0
CUST_0060,72,70666,Graduation,Together,0,0,2364,29,0,3,11,398,40,367,119,122,30,1046,1016,1,7,4,4,4,0,0,0,0,0,0,0
CUST_0061,49,25721,Graduation,Married,1,0,2563,75,0,3,11,1,3,6,3,6,15,19,4,1,1,1,2,7,0,0,0,0,0,0,1
CUST_0062,53,32474,Graduation,Together,1,1,2208,0,0,3,11,10,0,1,0,0,0,11,11,1,1,0,2,7,0,0,0,0,0,0,0
CUST_0063,41,88194,2n Cycle,Single,0,1,2261,19,0,3,11,688,14,309,201,24,38,1236,1198,1,11,10,10,5,1,0,1,0,0,2,1
CUST_0064,62,69096,Graduation,Together,0,1,2434,4,0,3,11,247,49,159,7,82,109,544,435,1,5,2,10,4,0,0,0,0,0,0,0
CUST_0065,50,74854,Graduation,Together,1,2,2606,90,0,3,11,856,59,487,58,29,73,1489,1416,7,2,5,5,5,0,0,0,0,0,0,0
CUST_0066,66,66991,Master,Married,0,0,2815,1,0,3,11,496,36,460,189,60,12,1241,1229,3,4,8,6,3,0,0,0,0,0,0,0
CUST_0067,61,65031,Graduation,Married,0,1,2628,29,0,3,11,258,107,291,84,37,86,777,691,4,10,3,13,7,0,0,0,0,0,0,0
CUST_0068,45,60631,PhD,Married,1,1,2609,88,0,3,11,565,6,65,0,6,19,642,623,5,9,2,8,7,0,0,0,1,0,1,0
CUST_0069,68,28332,Graduation,Married,0,0,2219,58,0,3,11,14,10,13,4,15,9,56,47,1,2,1,4,2,0,0,0,0,0,0,0
CUST_0070,43,40246,Graduation,Divorced,1,0,2716,68,0,3,11,2,1,6,2,1,1,12,11,1,1,0,2,6,0,0,0,0,0,0,0
CUST_0071,48,75251,Master,Married,0,0,2830,34,0,3,11,721,111,925,97,18,18,1872,1854,1,7,6,5,5,0,0,0,0,0,0,1
CUST_0072,44,75825,Graduation,Single,0,0,2784,40,0,3,11,1032,105,779,137,105,51,2158,2107,0,5,8,9,4,0,0,1,0,0,1,1
CUST_0073,44,26326,2n Cycle,Together,0,0,2457,12,1,3,11,1,0,5,0,3,9,9,0,1,0,0,3,3,0,0,0,0,0,0,0
CUST_0074,55,56046,Graduation,Together,0,0,2702,9,0,3,11,577,0,64,0,0,51,641,590,2,10,1,8,8,0,0,1,0,0,1,1
CUST_0075,35,29760,Graduation,Single,1,0,2828,87,0,3,11,64,4,68,7,5,17,148,131,4,3,1,4,8,0,0,0,0,0,0,0
CUST_0076,51,26304,Graduation,Married,1,0,2530,5,0,3,11,4,1,5,2,0,4,12,8,1,1,0,2,7,0,0,0,0,0,0,0
CUST_0077,47,23559,2n Cycle,Married,1,0,2520,87,0,3,11,25,5,19,7,0,23,56,33,3,3,0,3,7,0,0,0,0,0,0,0
CUST_0078,33,81361,Graduation,Divorced,0,0,2283,18,0,3,11,163,23,424,27,65,76,702,626,1,3,10,13,1,0,0,0,0,0,0,0
CUST_0079,60,29440,Graduation,Married,1,1,2481,95,0,3,11,17,8,14,10,4,3,53,50,2,1,0,4,7,0,0,0,0,0,0,0
CUST_0080,50,36138,Master,Married,1,1,2507,48,0,3,11,130,0,16,0,0,5,146,141,5,3,1,4,7,0,0,0,1,0,1,0
CUST_0081,63,50388,Graduation,Single,0,1,2191,3,0,3,11,292,6,37,0,3,34,338,304,4,6,1,6,7,1,0,0,1,0,2,1
CUST_0082,47,79593,Graduation,Married,0,0,2207,70,0,3,11,350,60,568,110,133,145,1221,1076,1,5,6,7,2,0,0,0,0,1,1,0
CUST_0083,53,54178,Graduation,Together,0,1,2318,79,0,3,11,135,9,39,4,0,7,187,180,1,2,2,5,2,0,0,0,0,0,0,0
CUST_0084,48,42394,Master,Single,1,0,2257,69,0,3,11,15,2,10,0,1,4,28,24,1,1,0,3,7,0,0,0,0,0,0,0
CUST_0085,50,23626,PhD,Married,1,0,2195,84,0,3,11,27,2,14,0,0,0,43,43,3,3,1,3,5,0,0,0,0,0,0,0
CUST_0086,37,30096,Graduation,Married,1,0,2197,30,0,3,11,5,3,11,12,5,9,36,27,1,2,0,3,6,0,0,0,0,0,0,0
CUST_0087,60,47916,Graduation,Widow,0,1,2743,72,0,3,11,505,0,26,0,0,75,531,456,5,7,4,6,6,0,0,0,1,0,1,0
CUST_0088,48,51813,Graduation,Divorced,1,1,2603,37,0,3,11,51,2,7,0,1,2,61,59,2,2,0,3,7,0,0,0,0,0,0,0
CUST_0089,69,78497,2n Cycle,Married,0,0,2369,44,0,3,11,207,26,447,75,0,223,755,532,1,5,7,12,2,1,0,0,0,0,1,0
CUST_0090,37,50150,PhD,Married,0,0,2533,32,0,3,11,135,46,92,65,61,11,399,388,2,5,2,7,5,0,0,0,0,0,0,0
CUST_0091,60,47823,2n Cycle,Single,0,1,2500,0,0,3,11,53,1,5,2,1,10,62,52,2,2,0,3,8,0,0,0,0,0,0,0
CUST_0092,61,34554,PhD,Single,0,1,2250,43,0,3,11,41,1,6,2,0,5,50,45,2,2,0,3,6,0,0,0,0,0,0,0
CUST_0093,41,85693,Graduation,Together,0,1,2594,59,0,3,11,386,172,183,185,132,111,1058,947,2,9,5,11,5,0,0,0,0,0,0,0
CUST_0094,75,65846,PhD,Married,0,0,2567,68,0,3,11,562,81,276,80,40,81,1039,958,1,6,3,6,4,0,0,0,0,0,0,0
CUST_0095,61,87195,Graduation,Married,0,0,2211,35,0,3,11,217,76,690,50,26,38,1059,1021,1,3,11,5,1,0,0,0,0,0,0,1
CUST_0096,41,24594,Basic,Together,1,0,2360,94,0,3,11,1,3,6,10,0,9,20,11,1,1,0,3,5,0,0,0,0,0,0,0
CUST_0097,56,49096,Graduation,Married,1,1,2437,15,0,3,11,144,1,32,2,1,7,180,173,4,4,1,4,7,0,0,0,0,0,0,0
CUST_0098,51,52413,Graduation,Married,0,2,2671,56,0,3,11,295,106,271,75,98,65,845,780,4,6,4,12,6,0,0,0,0,0,0,0
CUST_0099,42,38557,Graduation,Single,1,0,2716,17,0,3,11,76,3,31,4,4,27,118,91,2,3,1,3,7,0,0,0,0,0,0,0
CUST_0100,60,89058,Master,Married,0,0,2728,18,0,3,11,454,194,106,31,22,43,807,764,1,5,4,4,2,0,0,0,0,0,0,0
CUST_0101,41,77298,Graduation,Together,0,1,2398,46,0,3,11,425,115,292,23,35,79,890,811,1,6,6,11,3,0,0,0,0,0,0,0
CUST_0102,29,68126,PhD,Single,0,0,2755,40,0,3,11,1332,17,311,23,51,86,1734,1648,1,7,4,5,9,0,0,0,1,0,1,1
CUST_0103,57,57288,Master,Together,0,1,2163,27,0,3,11,527,0,21,0,0,60,548,488,3,8,1,8,6,0,0,0,1,0,1,0
CUST_0104,29,86037,Graduation,Single,0,0,2702,95,0,3,11,490,44,125,29,20,22,708,686,1,6,7,11,3,0,0,0,1,1,2,1
CUST_0105,40,43974,PhD,Married,1,0,2723,19,0,3,11,378,0,101,0,0,72,479,407,5,6,4,6,7,0,0,0,0,0,0,0
CUST_0106,58,50785,Graduation,Single,1,1,2451,27,0,3,11,64,1,21,0,1,27,87,60,2,2,1,3,6,0,0,0,0,0,0,0
CUST_0107,50,90765,Graduation,Married,0,0,2315,25,0,3,11,547,99,812,151,82,33,1691,1658,0,4,6,5,1,1,0,0,0,1,2,0
CUST_0108,42,36550,2n Cycle,Married,1,0,2654,74,0,3,11,47,90,94,123,103,120,457,337,5,9,1,5,9,0,0,0,0,0,0,0
CUST_0109,53,30753,2n Cycle,Together,1,1,2512,85,0,3,11,12,5,25,0,9,30,51,21,2,1,1,3,5,0,0,0,0,0,0,0
CUST_0110,51,21918,Graduation,Together,1,0,2386,37,0,3,11,1,6,7,11,5,3,30,27,2,2,0,3,6,0,0,0,0,0,0,0
CUST_0111,67,56129,Master,Together,0,1,2533,65,0,3,11,320,48,133,39,72,48,612,564,4,6,2,10,4,0,0,0,0,0,0,0
CUST_0112,53,32557,Master,Single,1,0,2284,13,0,3,11,34,3,29,0,4,10,70,60,3,2,1,3,5,0,0,0,0,0,0,1
CUST_0113,35,19510,Master,Married,2,0,2457,63,0,3,11,9,0,7,3,4,7,23,16,2,1,0,3,7,0,0,0,0,0,0,0
CUST_0114,44,30992,Graduation,Divorced,1,0,2592,83,0,3,11,17,0,14,7,3,2,41,39,1,1,0,3,7,0,0,0,0,0,0,0
CUST_0115,37,101970,Graduation,Single,0,0,2633,69,0,3,11,722,27,102,44,72,168,967,799,0,6,8,13,2,1,0,0,1,1,3,1
CUST_0116,55,71488,2n Cycle,Together,0,0,2655,87,0,3,11,162,33,124,40,28,172,387,215,2,3,4,7,1,0,0,0,0,0,0,0
CUST_0117,36,79607,Graduation,Single,0,0,2593,37,0,3,11,450,133,951,173,0,216,1707,1491,1,3,6,6,1,0,0,0,0,0,0,1
CUST_0118,67,54348,Master,Married,1,1,2180,51,0,3,11,70,0,16,0,0,4,86,82,2,2,0,4,6,0,0,0,0,0,0,0
CUST_0119,64,77376,PhD,Together,1,1,2209,72,0,3,11,492,19,110,16,12,12,649,637,4,6,3,10,4,0,0,0,0,0,0,0
CUST_0120,68,62998,Graduation,Married,0,1,2431,10,0,3,11,120,58,73,65,89,58,405,347,5,5,4,5,5,0,0,0,0,0,0,0
CUST_0121,62,61331,Master,Single,1,1,2635,42,0,3,11,534,5,47,0,5,41,591,550,5,11,1,6,8,0,0,0,0,0,0,0
CUST_0122,51,73448,Graduation,Married,0,0,2298,10,0,3,11,236,106,189,23,41,130,595,465,1,7,2,9,4,0,0,0,0,0,0,0
CUST_0123,56,41551,PhD,Married,1,1,2478,51,0,3,11,220,0,33,3,0,23,256,233,5,5,1,5,8,0,0,0,0,0,0,0
CUST_0124,53,62981,PhD,Together,0,0,2628,21,0,3,11,796,14,590,38,44,0,1482,1482,1,4,5,13,3,0,0,0,1,0,1,0
CUST_0125,44,9548,Basic,Divorced,1,0,2849,31,0,3,11,0,1,3,10,6,9,20,11,2,1,0,3,8,0,0,0,0,0,0,0
CUST_0126,61,33762,PhD,Married,2,1,2516,61,0,3,11,53,1,34,2,0,16,90,74,3,2,2,2,8,0,0,0,0,0,0,0
CUST_0127,47,35860,PhD,Single,1,1,2200,37,0,3,11,15,0,8,4,2,20,29,9,2,1,1,2,5,0,0,1,0,0,1,1
CUST_0128,55,36921,PhD,Divorced,1,1,2495,74,0,3,11,17,1,12,3,1,4,34,30,2,2,0,3,7,0,0,0,0,0,0,0
CUST_0129,28,92859,Master,Single,0,0,2777,46,0,3,11,962,61,921,52,61,20,2057,2037,1,5,4,12,2,0,0,0,0,0,0,0
CUST_0130,44,65104,Master,Together,0,1,2386,4,0,3,11,738,0,232,13,20,50,1003,953,2,3,5,7,7,0,0,0,0,0,0,1
CUST_0131,58,86111,Graduation,Married,0,0,2595,73,0,3,11,399,28,756,36,40,126,1259,1133,1,5,7,10,2,0,0,0,0,0,0,0
CUST_0132,46,68352,PhD,Single,0,1,2464,47,0,3,11,614,16,132,43,33,33,838,805,3,8,5,9,6,0,0,0,0,0,0,0
CUST_0133,32,41883,Graduation,Together,1,0,2626,13,0,3,11,32,34,41,73,16,116,196,80,3,4,2,3,7,0,0,0,0,0,0,0
CUST_0134,44,59809,Graduation,Married,0,2,2778,36,0,3,11,598,16,141,32,41,49,828,779,3,3,3,6,8,0,0,0,0,0,0,0
CUST_0135,45,23957,Graduation,Married,1,0,2768,47,0,3,11,2,1,18,20,11,16,52,36,1,2,0,3,6,0,0,0,0,0,0,1
CUST_0136,39,38547,Graduation,Together,1,0,2464,49,1,3,11,6,1,10,0,1,4,18,14,1,1,0,2,8,0,0,0,0,0,0,0
CUST_0137,47,35688,2n Cycle,Married,2,1,2835,94,0,3,11,73,3,90,12,1,32,179,147,7,4,1,4,8,0,0,0,0,0,0,0
CUST_0138,54,49605,Master,Married,0,0,2167,65,0,3,11,42,16,29,12,20,8,119,111,1,2,1,4,3,0,0,0,0,0,0,0
CUST_0139,67,59354,Master,Married,0,2,2225,59,0,3,11,295,21,78,39,13,13,446,433,1,4,4,7,3,0,0,0,0,0,0,0
CUST_0140,51,65747,Graduation,Married,0,1,2273,96,0,3,11,346,17,48,23,13,13,447,434,4,8,1,6,6,0,0,0,1,0,1,0
CUST_0141,48,46344,2n Cycle,Together,0,1,2721,28,0,3,11,233,20,57,8,20,91,338,247,4,7,1,5,7,0,0,0,0,0,0,0
CUST_0142,32,34176,Graduation,Single,1,0,2207,12,0,3,11,5,7,24,19,14,20,69,49,4,3,0,4,6,0,0,0,0,0,0,0
CUST_0143,68,61010,PhD,Together,0,1,2787,57,0,3,11,888,0,57,0,0,76,945,869,2,8,5,11,5,0,0,0,0,0,0,0
CUST_0144,71,69372,Graduation,Together,0,0,2654,10,0,3,11,997,26,269,34,13,42,1339,1297,1,10,4,6,4,0,0,0,1,1,2,1
CUST_0145,62,49967,Graduation,Single,0,1,2515,4,0,3,11,212,6,69,4,12,3,303,300,3,6,1,5,7,0,0,0,0,0,0,0
CUST_0146,42,60199,Graduation,Single,1,2,2449,49,0,3,11,8,1,7,2,0,0,18,18,1,0,0,3,4,0,0,0,0,0,0,0
CUST_0147,43,55375,Graduation,Together,0,1,2414,3,0,3,11,42,11,57,10,28,14,148,134,1,1,1,6,2,0,0,0,0,0,0,0
CUST_0148,65,80317,Graduation,Single,0,0,2472,64,0,3,11,536,11,387,149,91,57,1174,1117,1,3,4,10,1,0,0,0,0,0,0,0
CUST_0149,62,30523,Master,Single,2,1,2522,0,0,3,11,5,0,3,0,0,5,8,3,1,1,0,2,7,0,0,0,0,0,0,0
CUST_0150,75,70356,PhD,Married,0,0,2760,20,0,3,11,1349,16,249,43,16,33,1673,1640,2,10,6,9,6,0,0,0,0,0,0,0
CUST_0151,36,23228,Graduation,Married,1,0,2334,91,0,3,11,53,3,49,7,4,5,116,111,4,3,0,4,8,0,0,0,0,0,0,0
CUST_0152,45,74165,PhD,Divorced,0,0,2583,9,0,3,11,1001,12,240,16,12,12,1281,1269,1,5,4,10,2,0,0,0,0,0,0,0
CUST_0153,54,43482,Graduation,Together,2,1,2387,83,0,3,11,18,1,32,6,3,28,60,32,3,2,0,4,6,0,0,0,0,0,0,0
CUST_0154,67,62551,Graduation,Divorced,0,0,2382,27,0,3,11,125,16,98,134,21,27,394,367,1,6,7,4,3,0,0,1,0,0,1,0
CUST_0155,61,52332,Graduation,Divorced,0,0,2464,63,0,3,11,212,5,33,7,0,2,257,255,1,3,2,6,4,0,0,0,1,0,1,0
CUST_0156,32,66951,Graduation,Single,0,0,2398,46,0,3,11,277,162,305,173,76,124,993,869,1,3,4,7,1,0,0,0,0,0,0,0
CUST_0157,63,26091,Graduation,Together,1,1,2283,84,0,3,11,15,10,19,8,17,20,69,49,3,2,1,3,5,0,0,0,0,0,0,0
CUST_0158,55,33456,Graduation,Together,1,1,2228,58,0,3,11,7,3,10,8,1,7,29,22,2,1,0,3,7,0,0,0,0,0,0,0
CUST_0159,38,28718,Graduation,Married,1,0,2510,78,0,3,11,12,4,6,11,8,16,41,25,2,2,0,3,8,0,0,0,0,0,0,0
CUST_0160,50,50447,Graduation,Married,2,0,2228,4,0,3,11,85,7,24,2,3,27,121,94,1,3,1,3,6,0,0,0,0,0,0,0
CUST_0161,61,53537,PhD,Together,1,1,2309,17,0,3,11,81,0,6,0,0,6,87,81,2,2,1,3,5,0,0,0,0,0,0,0
CUST_0162,53,52074,Graduation,Single,0,1,2245,77,0,3,11,59,0,12,0,0,48,71,23,1,2,2,2,4,0,0,1,0,0,1,0
CUST_0163,45,80427,PhD,Married,0,1,2814,56,0,3,11,1149,71,449,69,71,26,1809,1783,1,11,8,8,5,0,0,0,0,0,0,0
CUST_0164,72,83837,PhD,Married,0,0,2719,79,0,3,11,847,66,119,86,89,111,1207,1096,1,9,10,5,4,1,0,0,1,0,2,1
CUST_0165,50,38853,PhD,Married,1,1,2196,90,0,3,11,29,0,14,0,0,2,43,41,2,2,0,3,7,0,0,0,0,0,0,0
CUST_0166,61,38285,Graduation,Together,2,1,2164,96,0,3,11,2,0,5,2,0,1,9,8,1,0,0,3,2,0,0,0,0,0,0,0
CUST_0167,44,51650,PhD,Married,0,1,2208,81,0,3,11,152,3,22,2,5,7,184,177,1,4,1,4,5,0,0,0,0,0,0,0
CUST_0168,32,16248,2n Cycle,Married,1,0,2209,77,0,3,11,12,11,10,3,12,9,48,39,3,2,1,3,6,0,0,0,0,0,0,0
CUST_0169,74,66835,Master,Married,0,0,2433,21,0,3,11,620,26,195,34,17,141,892,751,1,6,4,13,2,0,0,0,0,0,0,0
CUST_0170,36,30477,Master,Married,1,0,2317,16,0,3,11,47,1,6,0,0,12,54,42,1,1,1,3,6,0,0,0,0,0,0,0
CUST_0171,59,28249,Basic,Married,0,0,2173,80,0,3,11,1,9,7,2,14,10,33,23,1,2,0,3,6,0,0,0,0,0,0,0
CUST_0172,37,25271,Graduation,Married,1,0,2730,45,0,3,11,10,1,18,10,4,7,43,36,1,1,1,2,9,0,0,0,0,0,0,0
CUST_0173,50,32303,PhD,Single,0,1,2272,63,0,3,11,35,0,2,0,0,2,37,35,2,1,0,4,5,0,0,0,0,0,0,0
CUST_0174,54,61286,Graduation,Married,0,1,2490,34,0,3,11,356,0,107,19,9,117,491,374,2,7,1,8,5,0,0,0,0,0,0,0
CUST_0175,44,74068,Graduation,Married,0,0,2626,14,0,3,11,783,30,537,140,76,15,1566,1551,1,4,10,9,2,0,0,0,0,0,0,0
CUST_0176,56,45759,PhD,Married,1,1,2650,13,0,3,11,42,1,18,3,0,4,64,60,2,2,0,3,7,0,0,0,0,0,0,0
CUST_0177,42,24882,Basic,Together,1,0,2817,52,0,3,11,1,4,10,29,0,36,44,8,1,1,1,2,6,0,0,1,0,0,1,0
CUST_0178,31,66973,PhD,Together,0,0,2567,98,0,3,11,466,22,432,147,113,102,1180,1078,1,8,7,12,3,0,0,0,0,0,0,0
CUST_0179,32,38872,Graduation,Married,1,0,2554,93,0,3,11,23,3,21,3,19,22,69,47,2,3,0,3,8,0,0,0,0,0,0,0
