customer_id,total_spent,avg_transaction_value,total_purchases,campaigns_accepted,web_visits_month,days_since_last_purchase,customer_segment,churn_risk,response_rate
CUST_0225,37,5.29,7,0,7,54,Low Value,Medium,0
CUST_0226,2068,98.48,21,1,3,98,High Value,High,0
CUST_0227,971,69.36,14,0,3,97,Medium Value,High,0
CUST_0228,25,6.25,4,0,9,75,Low Value,High,0
CUST_0229,1446,68.86,21,1,2,8,High Value,Low,1
CUST_0230,950,39.58,24,0,7,37,Medium Value,Medium,0
CUST_0231,16,4.0,4,0,6,31,Low Value,Medium,0
CUST_0232,1610,115.0,14,3,6,40,High Value,Medium,1
CUST_0233,1313,69.11,19,0,5,74,High Value,High,0
CUST_0234,1954,102.84,19,0,3,90,High Value,High,0
CUST_0235,1461,69.57,21,0,6,57,High Value,Medium,0
CUST_0236,51,10.2,5,0,8,59,Low Value,Medium,0
CUST_0237,15,3.75,4,0,6,52,Low Value,Medium,0
CUST_0238,964,34.43,28,4,2,5,Medium Value,Low,1
CUST_0239,185,20.56,9,0,6,92,Low Value,High,0
CUST_0240,1118,53.24,21,0,8,77,High Value,High,0
CUST_0241,32,8.0,4,0,6,35,Low Value,Medium,0
CUST_0242,1080,67.5,16,1,6,48,High Value,Medium,0
CUST_0243,310,25.83,12,0,3,97,Low Value,High,0
CUST_0244,34,5.67,6,0,5,95,Low Value,High,0
CUST_0245,15,5.0,3,0,8,24,Low Value,Low,0
CUST_0246,18,4.5,4,1,7,60,Low Value,High,1
CUST_0247,821,37.32,22,0,5,46,Medium Value,Medium,0
CUST_0248,268,24.36,11,0,5,85,Low Value,High,0
CUST_0249,20,6.67,3,0,9,31,Low Value,Medium,0
CUST_0250,255,23.18,11,0,8,9,Low Value,Low,1
CUST_0251,70,10.0,7,0,7,30,Low Value,Medium,0
CUST_0252,1254,69.67,18,1,1,47,High Value,Medium,0
CUST_0253,115,16.43,7,1,7,70,Low Value,High,1
CUST_0254,865,72.08,12,0,1,13,Medium Value,Low,0
CUST_0255,46,7.67,6,0,6,11,Low Value,Low,0
CUST_0256,1489,124.08,12,0,7,31,High Value,Medium,1
CUST_0257,54,7.71,7,0,5,15,Low Value,Low,0
CUST_0258,218,21.8,10,0,5,2,Low Value,Low,0
CUST_0259,44,7.33,6,0,6,55,Low Value,Medium,0
CUST_0260,89,14.83,6,0,7,38,Low Value,Medium,0
CUST_0261,763,36.33,21,0,4,86,Medium Value,High,0
CUST_0262,795,37.86,21,0,5,56,Medium Value,Medium,1
CUST_0263,803,73.0,11,0,1,29,Medium Value,Low,0
CUST_0264,871,54.44,16,1,1,30,Medium Value,Medium,1
CUST_0265,777,37.0,21,0,6,64,Medium Value,High,0
CUST_0266,85,12.14,7,0,7,46,Low Value,Medium,0
CUST_0267,394,28.14,14,0,8,84,Low Value,High,0
CUST_0268,289,26.27,11,0,7,20,Low Value,Low,0
CUST_0269,395,28.21,14,0,2,74,Low Value,High,0
CUST_0270,34,6.8,5,0,5,18,Low Value,Low,0
CUST_0271,50,8.33,6,0,7,75,Low Value,High,0
CUST_0272,856,38.91,22,0,3,17,Medium Value,Low,0
CUST_0273,724,36.2,20,0,5,88,Medium Value,High,0
CUST_0274,1450,69.05,21,0,3,19,High Value,Low,0
CUST_0275,339,26.08,13,0,8,62,Low Value,High,0
CUST_0276,40,10.0,4,1,7,11,Low Value,Low,0
CUST_0277,123,17.57,7,0,7,74,Low Value,High,0
CUST_0278,1716,95.33,18,1,4,32,High Value,Medium,0
CUST_0279,55,9.17,6,0,9,76,Low Value,High,0
CUST_0280,17,5.67,3,0,6,6,Low Value,Low,0
CUST_0281,1334,66.7,20,2,8,62,High Value,High,0
CUST_0282,24,6.0,4,0,7,20,Low Value,Low,0
CUST_0283,89,14.83,6,0,8,43,Low Value,Medium,0
CUST_0284,787,71.55,11,0,1,45,Medium Value,Medium,0
CUST_0285,881,38.3,23,1,5,34,Medium Value,Medium,0
CUST_0286,52,7.43,7,0,5,53,Low Value,Medium,0
CUST_0287,700,35.0,20,0,6,44,Medium Value,Medium,0
CUST_0288,90,15.0,6,0,4,89,Low Value,High,0
CUST_0289,221,22.1,10,0,8,43,Low Value,Medium,0
CUST_0290,41,5.86,7,0,7,68,Low Value,High,0
CUST_0291,1150,52.27,22,1,2,44,High Value,Medium,0
CUST_0292,92,15.33,6,0,9,64,Low Value,High,1
CUST_0293,1146,67.41,17,1,1,85,High Value,High,0
CUST_0294,536,31.53,17,1,7,93,Medium Value,High,0
CUST_0295,226,22.6,10,0,4,12,Low Value,Low,0
CUST_0296,36,5.14,7,0,6,86,Low Value,High,0
CUST_0297,35,7.0,5,0,7,28,Low Value,Low,0
CUST_0298,1494,67.91,22,0,3,42,High Value,Medium,0
CUST_0299,218,21.8,10,0,4,13,Low Value,Low,0
CUST_0300,31,6.2,5,0,5,86,Low Value,High,0
CUST_0301,75,12.5,6,0,7,59,Low Value,Medium,0
CUST_0302,351,27.0,13,0,3,30,Low Value,Medium,0
CUST_0303,22,5.5,4,0,5,33,Low Value,Medium,0
CUST_0304,603,33.5,18,0,2,23,Medium Value,Low,0
CUST_0305,21,7.0,3,0,7,81,Low Value,High,0
CUST_0306,19,6.33,3,0,7,6,Low Value,Low,0
CUST_0307,1234,68.56,18,0,7,41,High Value,Medium,0
CUST_0308,589,32.72,18,0,8,78,Medium Value,High,0
CUST_0309,1157,68.06,17,0,3,49,High Value,Medium,0
CUST_0310,56,9.33,6,0,8,39,Low Value,Medium,0
CUST_0311,35,8.75,4,0,7,3,Low Value,Low,0
CUST_0312,38,9.5,4,0,4,37,Low Value,Medium,0
CUST_0313,149,18.62,8,0,8,22,Low Value,Low,0
CUST_0314,19,6.33,3,0,8,79,Low Value,High,0
CUST_0315,65,13.0,5,0,4,46,Low Value,Medium,0
CUST_0316,1138,66.94,17,0,5,82,High Value,High,1
CUST_0317,41,10.25,4,1,7,10,Low Value,Low,1
CUST_0318,25,5.0,5,0,8,51,Low Value,Medium,0
CUST_0319,807,38.43,21,0,3,38,Medium Value,Medium,0
CUST_0320,1412,67.24,21,3,4,10,High Value,Low,1
CUST_0321,41,10.25,4,0,8,14,Low Value,Low,0
CUST_0322,1552,73.9,21,1,3,18,High Value,Low,1
CUST_0323,1500,75.0,20,0,3,95,High Value,High,0
CUST_0324,121,17.29,7,0,6,11,Low Value,Low,0
CUST_0325,1148,67.53,17,2,8,65,High Value,High,0
CUST_0326,493,30.81,16,0,3,71,Low Value,High,0
CUST_0327,15,5.0,3,1,8,13,Low Value,Low,1
CUST_0328,767,51.13,15,0,1,58,Medium Value,Medium,0
CUST_0329,39,9.75,4,0,6,65,Low Value,High,0
CUST_0330,972,69.43,14,0,1,0,Medium Value,Low,1
CUST_0331,37,7.4,5,0,7,33,Low Value,Medium,0
CUST_0332,12,4.0,3,1,6,90,Low Value,High,0
CUST_0333,827,37.59,22,0,4,95,Medium Value,High,0
CUST_0334,1350,67.5,20,2,4,93,High Value,High,0
CUST_0335,1029,68.6,15,0,3,38,High Value,Medium,1
CUST_0336,1166,68.59,17,0,1,18,High Value,Low,0
CUST_0337,1265,66.58,19,0,6,57,High Value,Medium,0
CUST_0338,39,7.8,5,0,7,45,Low Value,Medium,0
CUST_0339,89,14.83,6,1,6,61,Low Value,High,0
CUST_0340,1622,115.86,14,0,1,6,High Value,Low,0
CUST_0341,892,68.62,13,0,2,65,Medium Value,High,0
CUST_0342,387,27.64,14,0,5,52,Low Value,Medium,0
CUST_0343,2092,99.62,21,1,2,87,High Value,High,0
CUST_0344,595,33.06,18,0,4,38,Medium Value,Medium,0
CUST_0345,51,7.29,7,0,4,53,Low Value,Medium,0
CUST_0346,20,6.67,3,0,9,31,Low Value,Medium,0
CUST_0347,429,28.6,15,0,7,67,Low Value,High,0
CUST_0348,551,32.41,17,0,4,65,Medium Value,High,0
CUST_0349,1319,52.76,25,0,2,64,High Value,High,0
CUST_0350,42,8.4,5,0,7,82,Low Value,High,0
CUST_0351,1699,113.27,15,0,3,27,High Value,Low,0
CUST_0352,952,68.0,14,0,8,63,Medium Value,High,0
CUST_0353,27,6.75,4,0,6,66,Low Value,High,0
CUST_0354,216,21.6,10,0,8,69,Low Value,High,0
CUST_0355,18,4.5,4,1,4,52,Low Value,Medium,0
CUST_0356,1270,66.84,19,1,8,45,High Value,Medium,0
CUST_0357,70,11.67,6,0,8,2,Low Value,Low,1
CUST_0358,84,12.0,7,0,8,86,Low Value,High,0
CUST_0359,42,10.5,4,1,9,23,Low Value,Low,1
CUST_0360,36,9.0,4,0,8,13,Low Value,Low,0
CUST_0361,1220,67.78,18,0,6,14,High Value,Low,0
CUST_0362,39,9.75,4,0,7,92,Low Value,High,0
CUST_0363,16,5.33,3,0,8,38,Low Value,Medium,0
CUST_0364,16,5.33,3,0,7,74,Low Value,High,0
CUST_0365,269,24.45,11,0,7,14,Low Value,Low,0
CUST_0366,179,19.89,9,0,8,94,Low Value,High,0
CUST_0367,13,4.33,3,0,3,33,Low Value,Medium,0
CUST_0368,28,5.6,5,0,5,32,Low Value,Medium,0
CUST_0369,385,27.5,14,1,7,11,Low Value,Low,1
CUST_0370,846,38.45,22,0,2,78,Medium Value,High,0
CUST_0371,91,15.17,6,0,6,56,Low Value,Medium,0
CUST_0372,1087,67.94,16,0,5,57,High Value,Medium,0
CUST_0373,1681,88.47,19,1,1,7,High Value,Low,0
CUST_0374,218,21.8,10,0,4,0,Low Value,Low,0
CUST_0375,1046,69.73,15,0,2,66,High Value,High,0
CUST_0376,185,20.56,9,0,6,86,Low Value,High,0
CUST_0377,709,35.45,20,0,3,80,Medium Value,High,0
CUST_0378,1553,67.52,23,0,2,56,High Value,Medium,0
CUST_0379,154,19.25,8,0,8,18,Low Value,Low,0
CUST_0380,28,7.0,4,0,8,51,Low Value,Medium,1
CUST_0381,22,5.5,4,0,7,71,Low Value,High,0
CUST_0382,61,8.71,7,0,7,71,Low Value,High,1
CUST_0383,57,9.5,6,0,6,80,Low Value,High,0
CUST_0384,1019,46.32,22,0,5,2,High Value,Low,0
CUST_0385,144,18.0,8,0,5,83,Low Value,High,0
CUST_0386,233,23.3,10,0,7,29,Low Value,Low,0
CUST_0387,442,29.47,15,1,7,11,Low Value,Low,1
CUST_0388,39,9.75,4,0,6,55,Low Value,Medium,0
CUST_0389,67,11.17,6,0,8,19,Low Value,Low,1
CUST_0390,262,23.82,11,0,6,1,Low Value,Low,0
CUST_0391,44,8.8,5,0,9,19,Low Value,Low,0
CUST_0392,486,30.38,16,0,7,28,Low Value,Low,0
CUST_0393,47,7.83,6,0,8,76,Low Value,High,1
CUST_0394,889,68.38,13,0,4,50,Medium Value,Medium,0
CUST_0395,1471,45.97,32,1,6,1,High Value,Low,0
CUST_0396,363,27.92,13,0,7,90,Low Value,High,0
CUST_0397,948,55.76,17,0,3,83,Medium Value,High,0
CUST_0398,1230,68.33,18,0,1,73,High Value,High,0
CUST_0399,50,8.33,6,1,5,24,Low Value,Low,0
CUST_0400,1352,67.6,20,4,5,11,High Value,Low,0
CUST_0401,1360,54.4,25,2,3,33,High Value,Medium,1
CUST_0402,723,36.15,20,0,8,4,Medium Value,Low,0
CUST_0403,45,9.0,5,0,7,14,Low Value,Low,0
CUST_0404,36,7.2,5,0,6,30,Low Value,Medium,0
CUST_0405,9,3.0,3,0,8,75,Low Value,High,0
CUST_0406,1367,91.13,15,2,1,26,High Value,Low,1
CUST_0407,2098,95.36,22,1,2,77,High Value,High,0
CUST_0408,19,6.33,3,0,8,8,Low Value,Low,0
CUST_0409,1762,67.77,26,3,1,42,High Value,Medium,0
CUST_0410,1131,66.53,17,2,6,28,High Value,Low,0
CUST_0411,31,6.2,5,0,5,52,Low Value,Medium,0
CUST_0412,836,38.0,22,0,3,1,Medium Value,Low,0
CUST_0413,1672,111.47,15,4,4,1,High Value,Low,1
CUST_0414,493,30.81,16,0,8,42,Low Value,Medium,0
CUST_0415,987,41.12,24,0,7,76,Medium Value,High,0
CUST_0416,954,39.75,24,0,4,27,Medium Value,Low,0
CUST_0417,52,10.4,5,0,5,28,Low Value,Low,0
CUST_0418,40,10.0,4,0,5,49,Low Value,Medium,0
CUST_0419,719,35.95,20,0,5,12,Medium Value,Low,0
CUST_0420,445,29.67,15,0,8,14,Low Value,Low,0
CUST_0421,117,16.71,7,0,7,89,Low Value,High,0
CUST_0422,27,5.4,5,0,8,96,Low Value,High,0
CUST_0423,30,7.5,4,0,8,56,Low Value,Medium,0
CUST_0424,152,19.0,8,0,4,72,Low Value,High,0
CUST_0425,13,4.33,3,0,5,14,Low Value,Low,0
CUST_0426,36,9.0,4,0,8,13,Low Value,Low,0
CUST_0427,22,5.5,4,0,8,99,Low Value,High,0
CUST_0428,15,5.0,3,0,8,72,Low Value,High,0
CUST_0429,182,20.22,9,0,8,92,Low Value,High,0
CUST_0430,1342,83.88,16,2,1,87,High Value,High,0
CUST_0431,43,8.6,5,0,8,7,Low Value,Low,0
CUST_0432,393,28.07,14,0,3,91,Low Value,High,0
CUST_0433,835,37.95,22,0,3,71,Medium Value,High,0
CUST_0434,964,40.17,24,0,7,24,Medium Value,Low,0
CUST_0435,56,9.33,6,0,5,17,Low Value,Low,0
CUST_0436,408,29.14,14,0,3,87,Low Value,High,0
CUST_0437,962,40.08,24,0,7,21,Medium Value,Low,0
CUST_0438,306,25.5,12,0,8,90,Low Value,High,0
CUST_0439,1995,86.74,23,2,4,44,High Value,Medium,1
CUST_0440,219,21.9,10,1,6,71,Low Value,High,1
CUST_0441,265,24.09,11,0,2,52,Low Value,Medium,0
CUST_0442,1257,69.83,18,0,3,78,High Value,High,0
CUST_0443,827,68.92,12,1,7,2,Medium Value,Low,1
CUST_0444,804,38.29,21,0,1,60,Medium Value,High,0
