interaction_id,customer_id,interaction_date,device_type,page_views,session_duration
56,CUST_0008,2026-01-19,Tablet,8,105
57,CUST_0009,2025-12-29,Mobile,5,538
58,CUST_0009,2025-12-26,Mobile,11,264
59,CUST_0009,2026-01-15,Desktop,10,376
60,CUST_0009,2026-01-08,Tablet,14,428
61,CUST_0009,2026-01-03,Desktop,8,529
62,CUST_0009,2026-01-16,Desktop,11,483
63,CUST_0009,2026-01-19,Desktop,8,255
64,CUST_0009,2026-01-23,Mobile,3,245
65,CUST_0009,2026-01-12,Tablet,8,93
66,CUST_0009,2026-01-19,Desktop,7,58
67,CUST_0010,2026-01-05,Tablet,14,475
68,CUST_0010,2026-01-17,Tablet,5,198
69,CUST_0010,2026-01-17,Mobile,4,225
70,CUST_0010,2026-01-03,Tablet,10,381
71,CUST_0010,2026-01-17,Tablet,11,178
72,CUST_0010,2026-01-08,Mobile,14,219
73,CUST_0010,2026-01-09,Desktop,3,599
74,CUST_0010,2025-12-26,Mobile,2,256
75,CUST_0011,2026-01-10,Mobile,6,237
76,CUST_0011,2026-01-17,Desktop,9,83
77,CUST_0012,2025-12-27,Desktop,13,463
78,CUST_0012,2026-01-05,Mobile,11,124
79,CUST_0012,2026-01-24,Desktop,2,160
80,CUST_0012,2026-01-12,Tablet,9,457
81,CUST_0012,2026-01-21,Desktop,11,551
82,CUST_0012,2026-01-18,Tablet,8,264
83,CUST_0013,2026-01-03,Desktop,7,273
84,CUST_0013,2026-01-11,Mobile,2,86
85,CUST_0013,2026-01-10,Mobile,5,222
86,CUST_0013,2025-12-28,Tablet,2,414
87,CUST_0013,2025-12-27,Mobile,7,433
88,CUST_0013,2026-01-19,Mobile,12,518
89,CUST_0013,2026-01-18,Desktop,9,594
90,CUST_0013,2025-12-30,Tablet,4,526
91,CUST_0014,2026-01-22,Mobile,3,112
92,CUST_0014,2026-01-09,Mobile,11,269
93,CUST_0014,2026-01-21,Tablet,4,543
94,CUST_0015,2026-01-08,Tablet,9,565
95,CUST_0015,2026-01-02,Desktop,12,417
96,CUST_0015,2026-01-21,Desktop,6,119
97,CUST_0015,2026-01-18,Tablet,4,413
98,CUST_0015,2026-01-21,Desktop,6,146
99,CUST_0015,2026-01-16,Tablet,2,312
100,CUST_0015,2026-01-06,Mobile,10,301
101,CUST_0015,2026-01-23,Mobile,8,245
102,CUST_0016,2025-12-27,Tablet,7,362
103,CUST_0016,2026-01-18,Tablet,9,112
104,CUST_0016,2026-01-06,Tablet,11,347
105,CUST_0016,2025-12-31,Desktop,6,32
106,CUST_0016,2026-01-21,Tablet,10,98
107,CUST_0016,2026-01-20,Mobile,11,452
108,CUST_0016,2026-01-03,Desktop,14,355
109,CUST_0017,2026-01-13,Tablet,7,90
110,CUST_0017,2026-01-06,Tablet,6,347
111,CUST_0017,2025-12-30,Tablet,12,237
112,CUST_0017,2026-01-04,Mobile,13,422
113,CUST_0017,2026-01-09,Tablet,3,593
114,CUST_0018,2026-01-24,Desktop,8,189
115,CUST_0018,2026-01-10,Desktop,8,159
116,CUST_0018,2026-01-01,Tablet,4,536
117,CUST_0018,2026-01-20,Tablet,14,442
118,CUST_0018,2026-01-13,Tablet,4,595
119,CUST_0018,2026-01-08,Tablet,14,390
120,CUST_0019,2026-01-15,Tablet,12,84
121,CUST_0019,2026-01-24,Desktop,11,271
122,CUST_0019,2026-01-20,Mobile,9,121
123,CUST_0019,2026-01-08,Tablet,5,146
124,CUST_0019,2026-01-08,Tablet,11,244
125,CUST_0019,2026-01-16,Desktop,4,92
126,CUST_0019,2025-12-29,Mobile,11,411
127,CUST_0019,2026-01-12,Mobile,6,436
128,CUST_0020,2026-01-21,Mobile,13,312
129,CUST_0021,2026-01-14,Desktop,10,591
130,CUST_0021,2026-01-09,Mobile,12,40
131,CUST_0021,2026-01-01,Tablet,2,314
132,CUST_0021,2026-01-24,Tablet,8,177
133,CUST_0021,2026-01-20,Desktop,12,231
134,CUST_0021,2025-12-26,Mobile,2,426
135,CUST_0021,2026-01-21,Mobile,6,501
136,CUST_0021,2025-12-28,Tablet,13,321
137,CUST_0022,2026-01-10,Mobile,9,216
138,CUST_0022,2025-12-27,Mobile,5,92
139,CUST_0022,2026-01-18,Desktop,14,202
140,CUST_0022,2025-12-27,Desktop,6,575
141,CUST_0023,2026-01-14,Mobile,3,379
142,CUST_0023,2025-12-31,Desktop,5,514
143,CUST_0023,2026-01-12,Mobile,8,579
144,CUST_0023,2026-01-14,Tablet,10,511
145,CUST_0023,2026-01-01,Mobile,9,112
146,CUST_0023,2026-01-02,Mobile,14,237
147,CUST_0023,2026-01-11,Tablet,9,35
148,CUST_0023,2026-01-16,Mobile,8,434
149,CUST_0024,2025-12-27,Mobile,4,527
150,CUST_0024,2026-01-19,Desktop,10,200
151,CUST_0024,2026-01-09,Tablet,3,350
152,CUST_0024,2026-01-19,Tablet,5,276
153,CUST_0024,2026-01-01,Desktop,14,282
154,CUST_0024,2026-01-11,Desktop,9,589
155,CUST_0024,2026-01-05,Tablet,2,314
156,CUST_0025,2026-01-15,Desktop,10,283
157,CUST_0025,2026-01-19,Desktop,13,468
158,CUST_0025,2026-01-23,Tablet,11,264
159,CUST_0025,2026-01-22,Desktop,13,164
160,CUST_0025,2026-01-05,Desktop,10,508
161,CUST_0025,2026-01-24,Desktop,4,48
162,CUST_0025,2026-01-04,Tablet,13,243
163,CUST_0026,2026-01-23,Desktop,8,81
164,CUST_0026,2026-01-22,Mobile,5,296
165,CUST_0026,2026-01-11,Tablet,13,466
166,CUST_0027,2026-01-02,Tablet,7,354
167,CUST_0027,2026-01-15,Desktop,9,561
168,CUST_0028,2025-12-26,Tablet,11,244
169,CUST_0028,2025-12-30,Tablet,14,582
170,CUST_0028,2026-01-10,Desktop,2,198
171,CUST_0028,2026-01-23,Mobile,2,418
172,CUST_0028,2026-01-01,Tablet,9,97
173,CUST_0029,2026-01-12,Desktop,2,593
174,CUST_0029,2026-01-22,Desktop,6,128
175,CUST_0029,2025-12-29,Mobile,5,531
176,CUST_0030,2026-01-15,Mobile,13,96
177,CUST_0030,2026-01-06,Desktop,3,455
178,CUST_0030,2026-01-06,Desktop,10,394
179,CUST_0030,2026-01-10,Tablet,5,425
180,CUST_0030,2026-01-04,Desktop,7,460
181,CUST_0031,2026-01-05,Mobile,8,440
182,CUST_0031,2026-01-05,Mobile,7,494
183,CUST_0031,2026-01-14,Tablet,3,377
184,CUST_0031,2026-01-22,Mobile,5,459
185,CUST_0031,2026-01-04,Desktop,6,548
186,CUST_0031,2026-01-09,Desktop,7,477
187,CUST_0032,2025-12-26,Mobile,5,515
188,CUST_0032,2025-12-27,Mobile,12,344
189,CUST_0032,2026-01-12,Tablet,3,353
190,CUST_0032,2026-01-19,Tablet,14,241
191,CUST_0032,2026-01-15,Mobile,14,33
192,CUST_0032,2026-01-22,Tablet,6,169
193,CUST_0032,2026-01-12,Desktop,4,291
194,CUST_0033,2026-01-16,Desktop,4,332
195,CUST_0033,2026-01-11,Mobile,7,200
196,CUST_0033,2026-01-18,Tablet,5,395
197,CUST_0033,2025-12-31,Tablet,14,432
198,CUST_0033,2026-01-15,Tablet,10,323
199,CUST_0033,2026-01-03,Desktop,3,178
200,CUST_0033,2026-01-05,Mobile,3,104
201,CUST_0034,2026-01-07,Desktop,8,114
202,CUST_0034,2026-01-06,Tablet,12,47
203,CUST_0035,2025-12-30,Mobile,7,71
204,CUST_0035,2026-01-18,Mobile,3,587
205,CUST_0035,2026-01-04,Tablet,13,40
206,CUST_0035,2026-01-19,Mobile,2,407
207,CUST_0035,2026-01-05,Tablet,11,382
208,CUST_0035,2025-12-31,Mobile,4,36
209,CUST_0035,2026-01-12,Desktop,11,165
210,CUST_0036,2026-01-16,Desktop,3,34
211,CUST_0036,2026-01-21,Mobile,14,431
212,CUST_0036,2025-12-30,Desktop,10,163
213,CUST_0036,2026-01-17,Desktop,9,167
214,CUST_0036,2026-01-22,Desktop,2,139
215,CUST_0037,2026-01-14,Mobile,8,314
216,CUST_0037,2026-01-02,Mobile,4,437
217,CUST_0037,2026-01-14,Mobile,12,427
218,CUST_0037,2025-12-26,Mobile,3,348
219,CUST_0037,2026-01-05,Tablet,12,160
220,CUST_0037,2025-12-29,Mobile,6,371
221,CUST_0038,2026-01-17,Tablet,6,132
222,CUST_0038,2026-01-14,Tablet,2,409
223,CUST_0038,2026-01-02,Desktop,5,498
224,CUST_0038,2025-12-30,Tablet,8,234
225,CUST_0039,2026-01-12,Mobile,14,158
226,CUST_0039,2026-01-18,Mobile,2,436
227,CUST_0039,2026-01-19,Tablet,14,558
228,CUST_0039,2026-01-19,Mobile,14,549
229,CUST_0039,2026-01-18,Desktop,10,169
230,CUST_0039,2025-12-29,Desktop,11,330
231,CUST_0039,2025-12-30,Mobile,14,435
232,CUST_0039,2026-01-05,Desktop,3,108
233,CUST_0040,2025-12-26,Mobile,8,213
234,CUST_0040,2026-01-21,Mobile,7,69
235,CUST_0040,2026-01-21,Desktop,3,122
236,CUST_0040,2025-12-30,Mobile,2,261
237,CUST_0040,2026-01-14,Mobile,6,164
238,CUST_0041,2026-01-05,Tablet,13,78
239,CUST_0041,2026-01-14,Tablet,6,92
240,CUST_0041,2026-01-20,Tablet,4,423
241,CUST_0041,2026-01-11,Mobile,5,349
242,CUST_0041,2026-01-15,Mobile,9,68
243,CUST_0042,2025-12-29,Desktop,3,388
244,CUST_0043,2026-01-10,Mobile,10,499
245,CUST_0043,2026-01-20,Desktop,4,34
246,CUST_0043,2025-12-29,Mobile,8,382
247,CUST_0043,2026-01-01,Tablet,5,462
248,CUST_0043,2026-01-20,Desktop,4,145
249,CUST_0043,2026-01-05,Mobile,9,432
250,CUST_0043,2026-01-05,Tablet,9,587
251,CUST_0043,2025-12-31,Desktop,5,61
252,CUST_0043,2026-01-11,Mobile,14,315
253,CUST_0044,2026-01-01,Tablet,14,242
254,CUST_0044,2025-12-28,Desktop,4,263
255,CUST_0044,2026-01-14,Desktop,5,200
256,CUST_0044,2026-01-19,Tablet,9,595
257,CUST_0044,2025-12-30,Mobile,7,161
258,CUST_0044,2026-01-04,Desktop,8,126
259,CUST_0044,2026-01-17,Desktop,10,464
260,CUST_0044,2026-01-24,Mobile,8,388
261,CUST_0044,2026-01-17,Desktop,2,416
262,CUST_0044,2025-12-27,Mobile,9,346
263,CUST_0045,2025-12-30,Mobile,8,563
264,CUST_0045,2026-01-21,Tablet,10,314
265,CUST_0045,2026-01-03,Tablet,9,591
266,CUST_0045,2026-01-06,Desktop,6,237
267,CUST_0045,2025-12-28,Tablet,7,259
268,CUST_0045,2026-01-16,Mobile,7,180
269,CUST_0045,2026-01-08,Tablet,13,408
270,CUST_0045,2026-01-14,Mobile,11,298
271,CUST_0046,2026-01-18,Tablet,14,244
272,CUST_0046,2026-01-06,Desktop,8,243
273,CUST_0047,2026-01-24,Tablet,10,293
274,CUST_0047,2026-01-10,Tablet,12,84
275,CUST_0047,2026-01-16,Mobile,14,158
276,CUST_0048,2026-01-11,Desktop,10,345
277,CUST_0048,2026-01-01,Mobile,3,52
278,CUST_0048,2026-01-20,Desktop,6,563
279,CUST_0048,2026-01-06,Mobile,8,120
280,CUST_0048,2026-01-02,Desktop,9,244
281,CUST_0048,2026-01-06,Mobile,4,197
282,CUST_0048,2026-01-10,Tablet,9,275
283,CUST_0049,2026-01-09,Desktop,4,532
284,CUST_0050,2026-01-07,Desktop,13,237
285,CUST_0050,2025-12-27,Tablet,14,460
286,CUST_0050,2026-01-21,Mobile,12,388
287,CUST_0051,2026-01-20,Desktop,3,293
288,CUST_0052,2025-12-31,Mobile,10,395
289,CUST_0052,2026-01-04,Tablet,7,411
290,CUST_0052,2026-01-03,Tablet,6,553
291,CUST_0053,2026-01-07,Mobile,14,161
292,CUST_0053,2026-01-19,Desktop,7,273
293,CUST_0053,2026-01-17,Tablet,12,285
294,CUST_0054,2026-01-03,Desktop,7,505
295,CUST_0054,2025-12-26,Mobile,12,48
296,CUST_0054,2026-01-23,Tablet,8,390
297,CUST_0054,2026-01-11,Desktop,7,536
298,CUST_0054,2026-01-11,Mobile,10,125
299,CUST_0054,2026-01-13,Tablet,4,340
300,CUST_0054,2026-01-22,Tablet,9,328
301,CUST_0055,2025-12-26,Tablet,11,371
302,CUST_0056,2026-01-02,Mobile,2,454
303,CUST_0056,2026-01-22,Tablet,14,593
304,CUST_0056,2026-01-10,Mobile,2,107
305,CUST_0057,2026-01-09,Tablet,13,554
306,CUST_0057,2026-01-21,Desktop,12,214
307,CUST_0057,2026-01-03,Mobile,10,308
308,CUST_0057,2026-01-19,Mobile,13,269
309,CUST_0057,2026-01-04,Mobile,13,76
310,CUST_0057,2026-01-08,Desktop,7,519
311,CUST_0057,2026-01-21,Mobile,4,165
312,CUST_0058,2026-01-15,Mobile,6,510
313,CUST_0058,2026-01-05,Tablet,14,132
314,CUST_0058,2026-01-07,Desktop,2,319
315,CUST_0058,2026-01-03,Tablet,2,55
316,CUST_0058,2026-01-02,Mobile,2,51
317,CUST_0059,2026-01-24,Desktop,8,385
318,CUST_0059,2026-01-20,Tablet,12,500
319,CUST_0059,2026-01-10,Mobile,2,167
320,CUST_0059,2026-01-21,Desktop,12,152
321,CUST_0060,2026-01-06,Desktop,10,321
322,CUST_0060,2025-12-28,Mobile,2,237
323,CUST_0060,2026-01-21,Desktop,8,424
324,CUST_0060,2025-12-26,Desktop,2,57
325,CUST_0060,2026-01-03,Mobile,2,301
326,CUST_0060,2026-01-16,Desktop,7,575
327,CUST_0060,2026-01-07,Tablet,11,523
328,CUST_0061,2025-12-31,Desktop,8,205
329,CUST_0061,2026-01-16,Desktop,11,556
330,CUST_0061,2025-12-30,Tablet,14,583
331,CUST_0061,2026-01-06,Mobile,4,78
332,CUST_0061,2026-01-06,Tablet,5,499
333,CUST_0061,2026-01-12,Tablet,14,284
334,CUST_0061,2026-01-07,Desktop,12,55
335,CUST_0062,2025-12-27,Tablet,6,305
336,CUST_0062,2026-01-21,Desktop,8,288
337,CUST_0062,2026-01-16,Tablet,9,350
338,CUST_0062,2026-01-22,Desktop,11,226
339,CUST_0062,2026-01-19,Mobile,4,167
340,CUST_0063,2025-12-30,Tablet,3,578
341,CUST_0063,2026-01-04,Mobile,10,545
342,CUST_0063,2026-01-08,Mobile,13,235
343,CUST_0063,2025-12-29,Mobile,14,532
344,CUST_0064,2026-01-04,Tablet,4,508
345,CUST_0064,2026-01-17,Desktop,13,537
346,CUST_0064,2026-01-05,Mobile,7,186
347,CUST_0064,2025-12-26,Desktop,3,569
348,CUST_0064,2026-01-19,Desktop,8,394
349,CUST_0065,2026-01-02,Mobile,3,201
350,CUST_0065,2025-12-30,Mobile,7,544
351,CUST_0065,2026-01-02,Mobile,13,509
352,CUST_0066,2026-01-14,Tablet,2,382
353,CUST_0066,2026-01-04,Tablet,2,359
354,CUST_0066,2026-01-23,Mobile,7,585
355,CUST_0066,2026-01-02,Desktop,6,269
356,CUST_0066,2026-01-10,Mobile,9,240
357,CUST_0066,2026-01-18,Mobile,5,46
358,CUST_0066,2026-01-18,Mobile,13,532
359,CUST_0067,2026-01-17,Mobile,8,536
360,CUST_0067,2026-01-06,Tablet,5,519
361,CUST_0067,2025-12-27,Mobile,10,56
362,CUST_0067,2026-01-16,Desktop,5,418
363,CUST_0067,2026-01-21,Desktop,14,226
364,CUST_0067,2026-01-18,Tablet,13,97
365,CUST_0067,2026-01-18,Mobile,8,579
366,CUST_0068,2026-01-06,Desktop,7,190
367,CUST_0068,2026-01-18,Tablet,8,555
368,CUST_0069,2026-01-23,Desktop,7,192
369,CUST_0069,2026-01-14,Tablet,3,540
370,CUST_0069,2025-12-27,Mobile,7,515
371,CUST_0069,2026-01-06,Mobile,9,127
372,CUST_0069,2025-12-29,Tablet,6,499
373,CUST_0069,2025-12-27,Mobile,7,99
374,CUST_0070,2026-01-14,Desktop,4,56
375,CUST_0070,2026-01-11,Desktop,13,563
376,CUST_0070,2026-01-12,Mobile,4,442
377,CUST_0070,2026-01-14,Mobile,7,418
378,CUST_0070,2026-01-09,Tablet,11,573
379,CUST_0071,2026-01-23,Desktop,7,512
380,CUST_0071,2025-12-28,Mobile,9,480
381,CUST_0071,2025-12-30,Desktop,12,193
382,CUST_0071,2025-12-26,Tablet,8,413
383,CUST_0072,2026-01-12,Tablet,6,41
384,CUST_0072,2026-01-19,Mobile,13,183
385,CUST_0072,2026-01-16,Desktop,12,450
386,CUST_0073,2026-01-01,Tablet,3,583
387,CUST_0073,2025-12-27,Desktop,5,140
388,CUST_0073,2026-01-03,Tablet,10,299
389,CUST_0073,2025-12-30,Mobile,12,200
390,CUST_0073,2025-12-26,Tablet,13,535
391,CUST_0073,2026-01-04,Tablet,6,549
392,CUST_0073,2026-01-14,Desktop,9,175
393,CUST_0073,2026-01-08,Tablet,9,426
394,CUST_0074,2026-01-15,Tablet,8,316
395,CUST_0074,2026-01-17,Mobile,2,121
396,CUST_0074,2026-01-02,Mobile,2,148
397,CUST_0074,2026-01-10,Mobile,7,349
398,CUST_0074,2025-12-28,Mobile,2,544
399,CUST_0074,2026-01-24,Mobile,3,176
400,CUST_0074,2026-01-17,Tablet,6,425
401,CUST_0074,2026-01-08,Mobile,11,363
402,CUST_0075,2026-01-24,Tablet,12,524
403,CUST_0075,2026-01-22,Mobile,13,369
404,CUST_0075,2026-01-07,Tablet,11,559
405,CUST_0075,2026-01-19,Mobile,13,154
406,CUST_0075,2026-01-07,Desktop,4,207
407,CUST_0075,2026-01-11,Tablet,8,227
408,CUST_0075,2026-01-10,Desktop,7,519
409,CUST_0076,2026-01-02,Desktop,10,562
410,CUST_0076,2025-12-30,Mobile,5,366
411,CUST_0076,2026-01-11,Mobile,13,302
412,CUST_0076,2025-12-28,Tablet,9,476
413,CUST_0076,2026-01-10,Desktop,12,460
414,CUST_0076,2026-01-15,Mobile,8,332
415,CUST_0076,2026-01-21,Tablet,5,451
416,CUST_0077,2026-01-19,Desktop,14,243
417,CUST_0077,2025-12-26,Mobile,8,127
418,CUST_0077,2025-12-29,Desktop,6,316
419,CUST_0078,2026-01-19,Desktop,12,537
420,CUST_0079,2026-01-21,Mobile,4,427
421,CUST_0079,2025-12-30,Mobile,14,256
422,CUST_0079,2026-01-07,Desktop,9,419
423,CUST_0079,2026-01-24,Desktop,13,32
424,CUST_0079,2026-01-17,Mobile,8,552
425,CUST_0079,2026-01-01,Desktop,12,573
426,CUST_0079,2026-01-24,Mobile,6,52
427,CUST_0080,2026-01-02,Mobile,13,84
428,CUST_0080,2025-12-30,Desktop,12,34
429,CUST_0080,2025-12-28,Mobile,12,120
430,CUST_0080,2026-01-07,Desktop,10,136
431,CUST_0080,2025-12-30,Tablet,10,400
432,CUST_0080,2026-01-05,Tablet,9,478
433,CUST_0080,2025-12-31,Desktop,14,382
434,CUST_0081,2026-01-17,Desktop,6,250
435,CUST_0081,2026-01-11,Mobile,4,452
436,CUST_0081,2026-01-03,Tablet,4,184
437,CUST_0081,2025-12-30,Mobile,4,326
438,CUST_0081,2026-01-20,Tablet,12,257
439,CUST_0081,2026-01-02,Mobile,2,451
440,CUST_0081,2026-01-14,Desktop,12,283
441,CUST_0082,2026-01-05,Desktop,5,597
442,CUST_0082,2026-01-19,Tablet,10,268
443,CUST_0083,2026-01-24,Tablet,13,343
444,CUST_0083,2026-01-24,Mobile,4,256
445,CUST_0084,2026-01-10,Tablet,11,86
446,CUST_0084,2026-01-09,Mobile,11,154
447,CUST_0084,2026-01-12,Desktop,12,319
448,CUST_0084,2025-12-27,Tablet,11,129
449,CUST_0084,2026-01-12,Desktop,12,346
450,CUST_0084,2026-01-12,Mobile,4,597
451,CUST_0084,2026-01-11,Desktop,8,162
452,CUST_0085,2026-01-18,Tablet,2,270
453,CUST_0085,2026-01-17,Tablet,12,558
454,CUST_0085,2026-01-03,Mobile,14,594
455,CUST_0085,2026-01-01,Mobile,2,214
456,CUST_0085,2026-01-10,Mobile,2,339
457,CUST_0086,2026-01-21,Mobile,3,418
458,CUST_0086,2025-12-31,Tablet,5,426
459,CUST_0086,2025-12-31,Tablet,7,586
460,CUST_0086,2026-01-08,Desktop,9,291
461,CUST_0086,2026-01-10,Desktop,5,378
462,CUST_0086,2026-01-03,Mobile,9,191
463,CUST_0087,2025-12-28,Mobile,11,538
464,CUST_0087,2026-01-05,Desktop,13,106
465,CUST_0087,2026-01-12,Desktop,7,223
466,CUST_0087,2026-01-17,Desktop,2,39
467,CUST_0087,2026-01-21,Desktop,3,184
468,CUST_0087,2026-01-20,Tablet,11,217
469,CUST_0088,2025-12-31,Tablet,14,216
470,CUST_0088,2025-12-30,Desktop,7,446
471,CUST_0088,2026-01-05,Mobile,3,458
472,CUST_0088,2026-01-08,Tablet,14,597
473,CUST_0088,2026-01-13,Desktop,7,41
474,CUST_0088,2025-12-30,Desktop,3,37
475,CUST_0088,2026-01-13,Tablet,6,185
476,CUST_0089,2026-01-20,Mobile,11,298
477,CUST_0089,2026-01-20,Mobile,8,541
478,CUST_0090,2026-01-24,Desktop,5,76
479,CUST_0090,2026-01-02,Tablet,3,114
480,CUST_0090,2026-01-20,Tablet,2,200
481,CUST_0090,2026-01-11,Desktop,5,69
482,CUST_0090,2026-01-20,Mobile,6,56
483,CUST_0091,2026-01-06,Desktop,7,221
484,CUST_0091,2026-01-22,Tablet,12,379
485,CUST_0091,2025-12-26,Desktop,7,507
486,CUST_0091,2025-12-28,Mobile,8,304
487,CUST_0091,2026-01-19,Tablet,4,102
488,CUST_0091,2026-01-20,Tablet,11,543
489,CUST_0091,2026-01-14,Tablet,4,190
490,CUST_0091,2026-01-17,Desktop,5,207
491,CUST_0092,2025-12-28,Desktop,12,352
492,CUST_0092,2026-01-17,Tablet,4,312
493,CUST_0092,2026-01-19,Desktop,14,237
494,CUST_0092,2026-01-14,Tablet,6,580
495,CUST_0092,2025-12-30,Desktop,3,438
496,CUST_0092,2026-01-17,Tablet,14,450
497,CUST_0093,2025-12-26,Desktop,12,136
498,CUST_0093,2026-01-16,Mobile,5,393
499,CUST_0093,2026-01-14,Mobile,8,74
500,CUST_0093,2026-01-19,Mobile,5,292
501,CUST_0093,2026-01-09,Desktop,6,569
502,CUST_0094,2026-01-19,Desktop,4,33
503,CUST_0094,2026-01-10,Tablet,3,79
504,CUST_0094,2026-01-13,Tablet,7,278
505,CUST_0094,2025-12-31,Desktop,7,328
506,CUST_0095,2026-01-04,Desktop,13,116
507,CUST_0096,2026-01-04,Mobile,8,83
508,CUST_0096,2026-01-22,Tablet,14,537
509,CUST_0096,2026-01-08,Desktop,6,69
510,CUST_0096,2025-12-30,Tablet,8,194
511,CUST_0096,2026-01-16,Mobile,9,123
512,CUST_0097,2026-01-21,Tablet,9,210
513,CUST_0097,2026-01-09,Desktop,7,447
514,CUST_0097,2025-12-28,Mobile,7,329
515,CUST_0097,2026-01-08,Mobile,8,508
516,CUST_0097,2026-01-19,Tablet,2,269
517,CUST_0097,2026-01-08,Tablet,12,261
518,CUST_0097,2026-01-12,Mobile,14,262
519,CUST_0098,2026-01-03,Mobile,7,94
520,CUST_0098,2026-01-20,Desktop,7,419
521,CUST_0098,2026-01-18,Tablet,2,267
522,CUST_0098,2026-01-04,Tablet,9,56
523,CUST_0098,2026-01-04,Desktop,5,594
524,CUST_0098,2026-01-23,Tablet,13,442
525,CUST_0099,2026-01-08,Mobile,11,496
526,CUST_0099,2026-01-15,Mobile,7,194
527,CUST_0099,2026-01-09,Desktop,6,307
528,CUST_0099,2026-01-01,Desktop,7,208
529,CUST_0099,2026-01-12,Mobile,9,206
530,CUST_0099,2026-01-08,Mobile,13,276
531,CUST_0099,2026-01-22,Mobile,6,69
532,CUST_0100,2026-01-09,Tablet,3,388
533,CUST_0100,2026-01-01,Desktop,8,539
534,CUST_0101,2025-12-31,Tablet,7,152
535,CUST_0101,2026-01-11,Tablet,11,389
536,CUST_0101,2026-01-22,Desktop,12,79
537,CUST_0102,2026-01-09,Desktop,8,167
538,CUST_0102,2026-01-18,Desktop,8,244
539,CUST_0102,2026-01-03,Desktop,4,201
540,CUST_0102,2026-01-06,Desktop,5,81
541,CUST_0102,2026-01-14,Tablet,4,599
542,CUST_0102,2026-01-05,Mobile,9,306
543,CUST_0102,2026-01-07,Desktop,11,303
544,CUST_0102,2026-01-08,Tablet,11,44
545,CUST_0102,2026-01-11,Mobile,11,309
546,CUST_0103,2026-01-03,Tablet,12,323
547,CUST_0103,2026-01-12,Tablet,9,195
548,CUST_0103,2025-12-26,Mobile,5,278
549,CUST_0103,2026-01-17,Tablet,14,38
550,CUST_0103,2026-01-24,Tablet,2,341
551,CUST_0103,2026-01-13,Tablet,7,446
552,CUST_0104,2025-12-31,Mobile,5,175
553,CUST_0104,2026-01-12,Desktop,11,166
554,CUST_0104,2026-01-03,Desktop,3,524
555,CUST_0105,2026-01-07,Mobile,14,62
556,CUST_0105,2026-01-10,Desktop,2,191
557,CUST_0105,2025-12-29,Desktop,13,381
