Unnamed: 0,rank,asin,product_title,product_price,product_star_rating,product_num_ratings,product_url,product_photo,rank_change_label,country,page,price_numeric,currency,product_price_original,price_numeric_original,price_usd,price_category,rating_category,popularity_category,product_category,product_title_clean,product_version,popularity_weighted_score,price_efficiency,popularity_percentile
10,11,B073VMC9S4,Kaspersky | Total Security (Plus) | 1 Device | 3 Years | Email Delivery in 1 Hour,₹999.00,4.4,8075.0,https://www.amazon.in/dp/B073VMC9S4,"https://images-eu.ssl-images-amazon.com/images/I/61qiv6rgc-L._AC_UL900_SR900,600_.jpg",,IN,1,999.0,INR,₹999.00,999.0,11.988,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Kaspersky | Total Security (Plus) | 1 Device | 3 Years | Email Delivery in 1 Hour,Unknown,39.58526870950401,0.3667277879646608,42.08140080254312
11,12,B07C24N3MB,"K7 Security K7 Antivirus Premium- 1 User, 1 Year (Email Delivery In 2 Hours, No Cd)",₹225.00,4.2,4631.0,https://www.amazon.in/dp/B07C24N3MB,"https://images-eu.ssl-images-amazon.com/images/I/61oh9Mc4UIL._AC_UL900_SR900,600_.jpg",,IN,1,225.0,INR,₹225.00,225.0,2.7,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"K7 Security K7 Antivirus Premium- 1 User, 1 Year (Email Delivery In 2 Hours, No Cd)",Unknown,35.45112488086189,1.5498154981549817,24.133618218771172
12,13,B073VJYGYW,"McAfee Antivirus 2024 | 1 Device, 1 Year | Antivirus Internet Security Software| Email Delivery",₹399.00,4.1,17965.0,https://www.amazon.in/dp/B073VJYGYW,"https://images-eu.ssl-images-amazon.com/images/I/616Ch24-LsL._AC_UL900_SR900,600_.jpg",,IN,1,399.0,INR,₹399.00,399.0,4.788,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"McAfee Antivirus 2024 | 1 Device, 1 Year | Antivirus Internet Security Software| Email Delivery",2024,40.16456908333552,0.8545227177990828,93.62134556256188
13,14,B0DMNS2241,Quick Heal | Antivirus Pro | 1 user | 1 Year | AI Based Device Security for Laptop | Email and Browsing Protection| (Email De,₹454.00,4.2,239.0,https://www.amazon.in/dp/B0DMNS2241,"https://images-eu.ssl-images-amazon.com/images/I/61lIvRJCpIL._AC_UL900_SR900,600_.jpg",,IN,1,454.0,INR,₹454.00,454.0,5.448,Budget (< $10),Good (4.0-4.4),High (200-999),Security/Antivirus,Quick Heal | Antivirus Pro | 1 user | 1 Year | AI Based Device Security for Laptop | Email and Browsing Protection| (Email De,Unknown,23.018683478036365,0.7695126419934042,1.2455052373755797
14,15,B07895T7B1,"McAfee Antivirus 2024 | 1 Device, 3 Year | Antivirus Internet Security Software | Email Delivery",₹750.00,4.2,16839.0,https://www.amazon.in/dp/B07895T7B1,"https://images-eu.ssl-images-amazon.com/images/I/61Qu9ZaC+sL._AC_UL900_SR900,600_.jpg",,IN,1,750.0,INR,₹750.00,750.0,9.0,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"McAfee Antivirus 2024 | 1 Device, 3 Year | Antivirus Internet Security Software | Email Delivery",2024,40.87235160874453,0.4661487236403996,87.7534003856376
15,16,B0FK5X2L2L,"Win 11/10 Pro Lifetime Activation Retail License Product Key (1 Device, 32/64 Bit) | Permanent Activation | Reinstallation Su",₹899.00,4.2,18.0,https://www.amazon.in/dp/B0FK5X2L2L,"https://images-eu.ssl-images-amazon.com/images/I/61GnE-vZiDL._AC_UL900_SR900,600_.jpg",,IN,1,899.0,INR,₹899.00,899.0,10.788,Economy ($10 - $30),Good (4.0-4.4),Low (1-49),Operating System,"Win 11/10 Pro Lifetime Activation Retail License Product Key (1 Device, 32/64 Bit) | Permanent Activation | Reinstallation Su",Unknown,12.36664371249905,0.3889609186886461,0.09380374172703111
16,17,B08B1SL726,Kaspersky | Anti-Virus | 1 Device | 1 Year | Email Delivery in 1 Hour,₹301.00,4.2,4470.0,https://www.amazon.in/dp/B08B1SL726,"https://images-eu.ssl-images-amazon.com/images/I/61y-1+9ZdCL._AC_UL900_SR900,600_.jpg",,IN,1,301.0,INR,₹301.00,301.0,3.612,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Kaspersky | Anti-Virus | 1 Device | 1 Year | Email Delivery in 1 Hour,Unknown,35.30254298018272,1.1595803423522917,23.294595862212724
17,18,B073VKKNN7,Quick Heal | Total Security Renewal Upgrade Gold pack | 1 User | 3 years | Email Delivery in 1 Hour - no CD| Existing Quick H,"₹1,869.00",4.4,8418.0,https://www.amazon.in/dp/B073VKKNN7,"https://images-eu.ssl-images-amazon.com/images/I/61KXWWZ1L-L._AC_UL900_SR900,600_.jpg",,IN,1,1869.0,INR,"₹1,869.00",1869.0,22.428,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Total Security Renewal Upgrade Gold pack | 1 User | 3 years | Email Delivery in 1 Hour - no CD| Existing Quick H,Unknown,39.76828387548573,0.19609590872626792,43.86888321434155
18,19,B07CBWJHJZ,"K7 Total Security - 1 PC's, 3 Years (Email Delivery in 2 hours - No CD)",₹725.00,4.4,2402.0,https://www.amazon.in/dp/B07CBWJHJZ,"https://images-eu.ssl-images-amazon.com/images/I/51Naj0jsuZL._AC_UL900_SR900,600_.jpg",,IN,1,725.0,INR,₹725.00,725.0,8.700000000000001,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"K7 Total Security - 1 PC's, 3 Years (Email Delivery in 2 hours - No CD)",Unknown,34.251682237240466,0.505166475315729,12.517588201573817
19,20,B073VLGMYZ,"Kaspersky Internet Security for Android Mobile Latest Version- 1 Device, 1 Year (Email Delivery in 1 Hour)",₹199.00,4.2,11906.0,https://www.amazon.in/dp/B073VLGMYZ,"https://images-eu.ssl-images-amazon.com/images/I/618S5Pqxi0L._AC_UL900_SR900,600_.jpg",,IN,1,199.0,INR,₹199.00,199.0,2.388,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Kaspersky Internet Security for Android Mobile Latest Version- 1 Device, 1 Year (Email Delivery in 1 Hour)",Unknown,39.41650331409493,1.7514595496246876,62.04596383344625
20,21,B073VJVSCC,"Bitdefender - 1 Computer,1 Year - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",₹320.00,4.4,12973.0,https://www.amazon.in/dp/B073VJVSCC,"https://images-eu.ssl-images-amazon.com/images/I/81+KsLxJa2L._AC_UL900_SR900,600_.jpg",,IN,1,320.0,INR,₹320.00,320.0,3.84,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Bitdefender - 1 Computer,1 Year - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,41.67109158860121,1.142857142857143,67.60644119026526
21,22,B08C85B28L,Microsoft 365 Personal -1 TB of cloud storage - Advanced security - Innovative apps with AI - 12-Month Subscription - Windows,"₹5,599.00",4.4,2617.0,https://www.amazon.in/dp/B08C85B28L,"https://images-eu.ssl-images-amazon.com/images/I/51lb3P0hIPL._AC_UL900_SR900,600_.jpg",,IN,1,5599.0,INR,"₹5,599.00",5599.0,67.188,Mid-Range ($30 - $100),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Microsoft 365 Personal -1 TB of cloud storage - Advanced security - Innovative apps with AI - 12-Month Subscription - Windows,Unknown,34.62873016446732,0.06547813923033423,13.638021783313356
22,23,B0CDPG65DT,"BitDefender Total Security Latest Version (Windows / Mac / Android / iOS) - 3 Devices, 3 Years (Single Activation Code) (Emai",₹898.00,4.6,704.0,https://www.amazon.in/dp/B0CDPG65DT,"https://images-eu.ssl-images-amazon.com/images/I/71fX9xvoLxL._AC_UL900_SR900,600_.jpg",,IN,1,898.0,INR,₹898.00,898.0,10.776,Economy ($10 - $30),Excellent (4.5+),High (200-999),Security/Antivirus,"BitDefender Total Security Latest Version (Windows / Mac / Android / iOS) - 3 Devices, 3 Years (Single Activation Code) (Emai",Unknown,30.167709892936436,0.4264787687743371,3.6687685653238837
23,24,B075S4HJMY,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori","₹1,699.00",4.4,1253.0,https://www.amazon.in/dp/B075S4HJMY,"https://images-eu.ssl-images-amazon.com/images/I/51rSvnGsJzL._AC_UL900_SR900,600_.jpg",,IN,1,1699.0,INR,"₹1,699.00",1699.0,20.388,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori",2025,31.390012373248613,0.21570742229630355,6.529782687998333
24,25,B073VJYGYZ,"Bitdefender - 1 Computer,1 Year - Antivirus Plus | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",₹149.00,4.0,2009.0,https://www.amazon.in/dp/B073VJYGYZ,"https://images-eu.ssl-images-amazon.com/images/I/810tg5PrmJS._AC_UL900_SR900,600_.jpg",,IN,1,149.0,INR,₹149.00,149.0,1.788,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Bitdefender - 1 Computer,1 Year - Antivirus Plus | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",Unknown,30.423560004212487,2.2246941045606228,10.469539840533638
25,26,B08B1SD2HZ,Kaspersky | Total Security | 1 Device | 1 Year | Email Delivery in 1 Hour,₹469.00,4.3,9953.0,https://www.amazon.in/dp/B08B1SD2HZ,"https://images-eu.ssl-images-amazon.com/images/I/61ykGuyH5DL._AC_UL900_SR900,600_.jpg",,IN,1,469.0,INR,₹469.00,469.0,5.628,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Kaspersky | Total Security | 1 Device | 1 Year | Email Delivery in 1 Hour,Unknown,39.584637965499546,0.7626818020574672,51.86825785606337
26,27,B08L7GCBG1,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 2 Years | Email Delivery in 1 Hour,₹749.00,4.6,820.0,https://www.amazon.in/dp/B08L7GCBG1,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg",,IN,1,749.0,INR,₹749.00,749.0,8.988,Budget (< $10),Excellent (4.5+),High (200-999),Security/Antivirus,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 2 Years | Email Delivery in 1 Hour,Unknown,30.868406303481166,0.5112247166036897,4.273281567564751
27,28,B073VMC9RZ,Quick Heal | Total Security | 1 User | 3 Years | AI Based Device Security for PC | Banking Protection | Parental Control| (Em,"₹2,292.00",4.4,14912.0,https://www.amazon.in/dp/B073VMC9RZ,"https://images-eu.ssl-images-amazon.com/images/I/61y2a2G3bXL._AC_UL900_SR900,600_.jpg",,IN,1,2292.0,INR,"₹2,292.00",2292.0,27.504,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Total Security | 1 User | 3 Years | AI Based Device Security for PC | Banking Protection | Parental Control| (Em,Unknown,42.283949816956245,0.1599185869012139,77.71118870186045
28,29,B0FK3TJ1CG,"Ms 365 Professional Plus with Copilot Ai | Exclusive 2026 Edition | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADO","₹2,199.00",5.0,4.0,https://www.amazon.in/dp/B0FK3TJ1CG,"https://images-eu.ssl-images-amazon.com/images/I/71guKi9QWDL._AC_UL900_SR900,600_.jpg",,IN,1,2199.0,INR,"₹2,199.00",2199.0,26.388,Economy ($10 - $30),Excellent (4.5+),Low (1-49),Operating System,"Ms 365 Professional Plus with Copilot Ai | Exclusive 2026 Edition | (5 Devices, Lifetime Validity) for Win, iOS, macOS, iPADO",2026,8.047189562170502,0.18940828850670502,0.020845275939340248
29,30,B0C5XBG24H,Kaspersky | Internet Security | 1 Device | 2 Years | Email Delivery in 1 Hour,₹500.00,4.4,442.0,https://www.amazon.in/dp/B0C5XBG24H,"https://images-eu.ssl-images-amazon.com/images/I/61yk38icANL._AC_UL900_SR900,600_.jpg",,IN,1,500.0,INR,₹500.00,500.0,6.0,Budget (< $10),Good (4.0-4.4),High (200-999),Security/Antivirus,Kaspersky | Internet Security | 1 Device | 2 Years | Email Delivery in 1 Hour,Unknown,26.811706988198598,0.7321131447587356,2.3034029912970975
30,31,B073VL49H8,Quick Heal | Total Security | 1 User | 1 Year | AI Based Device Security for Windows PC | Banking and Browsing Protection | D,"₹1,182.00",4.4,14912.0,https://www.amazon.in/dp/B073VL49H8,"https://images-eu.ssl-images-amazon.com/images/I/61pok8CXslL._AC_UL900_SR900,600_.jpg",,IN,1,1182.0,INR,"₹1,182.00",1182.0,14.184000000000001,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Total Security | 1 User | 1 Year | AI Based Device Security for Windows PC | Banking and Browsing Protection | D,Unknown,42.283949816956245,0.3099901366774694,77.71118870186045
31,32,B08C858V16,Microsoft 365 Family – 6 Devices- up to 6 TB of cloud storage (1 TB per person)- Advanced security - Innovative apps with AI ,"₹7,299.00",4.3,4923.0,https://www.amazon.in/dp/B08C858V16,"https://images-eu.ssl-images-amazon.com/images/I/51eITIFJzaL._AC_UL900_SR900,600_.jpg",,IN,1,7299.0,INR,"₹7,299.00",7299.0,87.58800000000001,Mid-Range ($30 - $100),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Microsoft 365 Family – 6 Devices- up to 6 TB of cloud storage (1 TB per person)- Advanced security - Innovative apps with AI,Unknown,36.558068895408674,0.0490878787186922,25.655323362343008
32,33,B07B8NHL2S,"Bitdefender - 3 Computer,3 Years - Total Security | Windows | Latest Version | (Single Activation Code) Email Delivery in 2 H",₹898.00,4.4,12973.0,https://www.amazon.in/dp/B07B8NHL2S,"https://images-eu.ssl-images-amazon.com/images/I/81dKXrOXm6L._AC_UL900_SR900,600_.jpg",,IN,1,898.0,INR,₹898.00,898.0,10.776,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Bitdefender - 3 Computer,3 Years - Total Security | Windows | Latest Version | (Single Activation Code) Email Delivery in 2 H",Unknown,41.67109158860121,0.4079362136102355,67.60644119026526
33,34,B073VKTK96,Quick Heal | Total Security | 2 Users | 3 Years | AI Based Device Security for Windows PC | Banking and Browsing Protection |,"₹2,869.00",4.4,14912.0,https://www.amazon.in/dp/B073VKTK96,"https://images-eu.ssl-images-amazon.com/images/I/610lPg9hOAL._AC_UL900_SR900,600_.jpg",,IN,1,2869.0,INR,"₹2,869.00",2869.0,34.428,Mid-Range ($30 - $100),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Total Security | 2 Users | 3 Years | AI Based Device Security for Windows PC | Banking and Browsing Protection |,Unknown,42.283949816956245,0.12776584006039843,77.71118870186045
34,35,B073VMC9RY,Quick Heal | Antivirus Pro | 1 user | 1 Year | AI Based Device Security for Laptop | Email and Browsing Protection (Email Del,₹454.00,4.3,12850.0,https://www.amazon.in/dp/B073VMC9RY,"https://images-eu.ssl-images-amazon.com/images/I/61enqjIAiGL._AC_UL900_SR900,600_.jpg",,IN,1,454.0,INR,₹454.00,454.0,5.448,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Antivirus Pro | 1 user | 1 Year | AI Based Device Security for Laptop | Email and Browsing Protection (Email Del,Unknown,40.683060705720706,0.7878343715646756,66.96544895513054
35,36,B073VJYFNJ,"Quick Heal Total Security Renewal Upgrade Silver Pack - 1 User, 1 Year (Email Delivery In 1 Hour- No Cd) Existing Single User",₹939.00,4.4,8418.0,https://www.amazon.in/dp/B073VJYFNJ,"https://images-eu.ssl-images-amazon.com/images/I/61qEUJgAdXL._AC_UL900_SR900,600_.jpg",,IN,1,939.0,INR,₹939.00,939.0,11.268,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Quick Heal Total Security Renewal Upgrade Silver Pack - 1 User, 1 Year (Email Delivery In 1 Hour- No Cd) Existing Single User",Unknown,39.76828387548573,0.39014009576165987,43.86888321434155
36,37,B0846J7XJ9,"Net Protector NPAV Net Protector 2025 Total Security Gold Edition - 1 PC, 1 Year - (Email Delivery in 1 Hour - No CD)",₹398.00,4.2,1207.0,https://www.amazon.in/dp/B0846J7XJ9,"https://images-eu.ssl-images-amazon.com/images/I/51Wk8qnBJ+L._AC_UL900_SR900,600_.jpg",,IN,1,398.0,INR,₹398.00,398.0,4.776,Budget (< $10),Good (4.0-4.4),Very High (1000+),Security/Antivirus,"Net Protector NPAV Net Protector 2025 Total Security Gold Edition - 1 PC, 1 Year - (Email Delivery in 1 Hour - No CD)",2025,29.806229789677996,0.8775595486836608,6.29006201469592
37,38,B0C3W3CJPR,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 3 Years | Email Delivery in 1 Hour,"₹1,299.00",4.6,406.0,https://www.amazon.in/dp/B0C3W3CJPR,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg",,IN,1,1299.0,INR,"₹1,299.00",1299.0,15.588000000000001,Economy ($10 - $30),Excellent (4.5+),High (200-999),Security/Antivirus,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 3 Years | Email Delivery in 1 Hour,Unknown,27.640540653035934,0.29490960379535835,2.115795507843035
38,39,B0FK3F973M,"MS Professional Plus LTSC 2024 (Complete Suite) | NEW 2025 Released | Retail License Key for Windows 10/11 (1 User/PC, Lifeti","₹1,999.00",4.4,11.0,https://www.amazon.in/dp/B0FK3F973M,"https://images-eu.ssl-images-amazon.com/images/I/61qsg3jGiDL._AC_UL900_SR900,600_.jpg",,IN,1,1999.0,INR,"₹1,999.00",1999.0,23.988,Economy ($10 - $30),Good (4.0-4.4),Low (1-49),Operating System,"MS Professional Plus LTSC 2024 (Complete Suite) | NEW 2025 Released | Retail License Key for Windows 10/11 (1 User/PC, Lifeti",2024,10.933589259067203,0.18334861238436537,0.05732450883318568
39,40,B081HKDDQW,Quick Heal | Antivirus Pro – Renewal Pack | 1 user | 3 Years | Email Delivery in 1 Hour - no CD | Existing Quick Heal Single ,₹839.00,4.3,3593.0,https://www.amazon.in/dp/B081HKDDQW,"https://images-eu.ssl-images-amazon.com/images/I/61UNonG582L._AC_UL900_SR900,600_.jpg",,IN,1,839.0,INR,₹839.00,839.0,10.068,Economy ($10 - $30),Good (4.0-4.4),Very High (1000+),Security/Antivirus,Quick Heal | Antivirus Pro – Renewal Pack | 1 user | 3 Years | Email Delivery in 1 Hour - no CD | Existing Quick Heal Single,Unknown,35.20419058957707,0.42667195872196867,18.724269112512378
40,41,B08B1RS45K,Kaspersky | Premium - Total Security (Ultimate Security) | 3 Devices | 1 Year | Email Delivery in 1 Hour,₹799.00,4.3,353.0,https://www.amazon.in/dp/B08B1RS45K,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg",,IN,1,799.0,INR,₹799.00,799.0,9.588000000000001,Budget (< $10),Good (4.0-4.4),High (200-999),Security/Antivirus,Kaspersky | Premium - Total Security (Ultimate Security) | 3 Devices | 1 Year | Email Delivery in 1 Hour,Unknown,25.237976726475228,0.4480100020837674,1.839595601646777
41,42,B0FKP8NZCM,Ms Pro Plus LTSC 2024 Full Edition (100% Genuine) (New 2025 Updated) Lifetime Retail Key for Win (1 PC/User) | Reinstall Anyt,"₹1,999.00",3.4,6.0,https://www.amazon.in/dp/B0FKP8NZCM,"https://images-eu.ssl-images-amazon.com/images/I/61JPOQd0bsL._AC_UL900_SR900,600_.jpg",,IN,1,1999.0,INR,"₹1,999.00",1999.0,23.988,Economy ($10 - $30),Average (3.0-3.9),Low (1-49),Other,Ms Pro Plus LTSC 2024 Full Edition (100% Genuine) (New 2025 Updated) Lifetime Retail Key for Win (1 PC/User) | Reinstall Anyt,2024,6.616094506788065,0.1416784732061005,0.03126791390901037
42,43,B0FHKDFGQ6,Win 11 Pro win 10 pro Product License Key - 1 User Lifetime Validity (Quick Email Delivery) 32 Bit | 64 Bit,₹345.00,3.6,3.0,https://www.amazon.in/dp/B0FHKDFGQ6,"https://images-eu.ssl-images-amazon.com/images/I/51TO7Fe+XAL._AC_UL900_SR900,600_.jpg",,IN,1,345.0,INR,₹345.00,345.0,4.14,Budget (< $10),Average (3.0-3.9),Low (1-49),Operating System,Win 11 Pro win 10 pro Product License Key - 1 User Lifetime Validity (Quick Email Delivery) 32 Bit | 64 Bit,Unknown,4.990659700031606,0.8674698795180724,0.015633956954505184
43,44,B083WNLMY6,Guardian Antivirus Total Security With Anti-Ransomware- 1Pc/1Year (Email Delivery In 2 Hours- No Cd),₹330.00,4.3,825.0,https://www.amazon.in/dp/B083WNLMY6,"https://images-eu.ssl-images-amazon.com/images/I/619FeGlgOyL._AC_UL900_SR900,600_.jpg",,IN,1,330.0,INR,₹330.00,330.0,3.96,Budget (< $10),Good (4.0-4.4),High (200-999),Security/Antivirus,Guardian Antivirus Total Security With Anti-Ransomware- 1Pc/1Year (Email Delivery In 2 Hours- No Cd),Unknown,28.881357526140203,1.0831234256926952,4.299338162488926
